Player,Draft Pick,All Star Appearences from 2016-2018
Stephen Curry,7,3
Dwyane Wade,5,1
LeBron James,1,3
Paul George,10,2
Carmelo Anthony,3,2
Jimmy Butler,30,3
Chris Bosh,4,1
John Wall,1,3
Paul Millsap,47,2
DeMar DeRozan,9,3
Andre Drummond,9,1
Isaiah Thomas,60,2
Russel Westbrook,4,3
Kobe Bryant,13,1
Kevin Durant,2,3
Kawhi Leonard,15,2
Chris Paul,4,1
LaMarcus Aldridge,2,2
James Harden,3,3
Anthony Davis,1,3
Demarcus Cousins,5,3
Klay Thompson,11,3
Draymond Green,35,3
Kyle Lowry,24,3
Kyrie Irving,1,2
Giannis Antetokounmpo,15,2
Kevin Love,5,2
Kemba Walker,9,1
Marc Gasol,48,1
DeAndre Jordan,35,1
Gordon Hayward,9,1
Joel Embiid,3,1
Bradley Beal,3,1
Goran Drajic,45,1
Al Horford,3,1
Victor Oladipo,2,1
Kristaps Porzi??is,4,1
Karl-Anthony Towns,1,1
Damian Lilliard,6,1
,12.66666667,1.897435897
