,Unnamed: 0,Player,All_NBA,All.Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes.Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes.per.Game,Points.per.Game,TRB.per.game,Assits.per.Game,Win.Share,WS_per_game,BPM,VORP,Executive,Tenure,Exec_ID,Exec_draft_exp,attend_college,first_year,second_year,third_year,fourth_year,fifth_year
0,1,Robert Parish,2,9,1976,8,GSW,Centenary College of Louisiana,21,1611,45704,23334,14715,2180,0.537,0.0,0.721,28.4,14.5,9.1,1.4,147.0,0.154,1.6,41.5,Al Attles,3641 days 00:00:00.000000000,1,1,1,0,0,0,0,0
96,97,Chris Mullin,4,5,1985,7,GSW,St. John's University,16,986,32163,17911,4034,3450,0.509,0.384,0.865,32.6,18.2,4.1,3.5,93.1,0.139,2.8,38.7,Al Attles,3641 days 00:00:00.000000000,1,10,1,0,0,0,0,0
118,119,Larry Johnson,1,2,1991,1,NOH,"University of Nevada, Las Vegas",10,707,25685,11450,5300,2298,0.484,0.332,0.7659999999999999,36.3,16.2,7.5,3.3,69.7,0.13,2.4,28.3,Allan Bristow,456 days 00:00:00.000000000,3,2,1,0,0,0,0,0
125,126,Chris Paul,8,9,2005,4,NOH,Wake Forest University,11,773,27725,14506,3380,7688,0.473,0.365,0.8640000000000001,35.9,18.8,4.4,9.9,144.1,0.249,7.5,66.4,Allan Bristow,471 days 00:00:00.000000000,3,5,1,0,0,0,0,0
127,128,Dikembe Mutombo,3,8,1991,4,DEN,Georgetown University,18,1196,36791,11729,12359,1240,0.518,0.0,0.684,30.8,9.8,10.3,1.0,117.0,0.153,2.1,38.2,Bernie Bickerstaff,2406 days 00:00:00.000000000,4,1,1,0,0,0,0,0
199,200,Dennis Johnson,2,5,1976,29,OKC,Pepperdine University,14,1100,35954,15535,4249,5499,0.445,0.172,0.797,32.7,14.1,3.9,5.0,82.6,0.11,0.6,23.6,Bill Russell,1454 days 00:00:00.000000000,8,1,1,0,0,0,0,0
227,228,Magic Johnson,10,12,1979,1,LAL,Michigan State University,13,906,33245,17707,6559,10141,0.52,0.303,0.848,36.7,19.5,7.2,11.2,155.8,0.225,7.2,77.4,Bill Sharman,2106 days 00:00:00.000000000,9,3,1,0,0,0,0,0
292,293,Al Horford,1,4,2007,3,ATL,University of Florida,9,578,19342,8288,5144,1589,0.535,0.34,0.743,33.5,14.3,8.9,2.7,64.2,0.159,3.0,24.4,Billy Knight,1883 days 00:00:00.000000000,11,7,1,0,0,0,0,0
302,303,Grant Hill,5,7,1994,3,DET,Duke University,18,1026,34776,17137,6169,4252,0.483,0.314,0.769,33.9,16.7,6.0,4.1,99.9,0.138,2.8,42.5,Billy McKinney,1037 days 00:00:00.000000000,12,5,1,0,0,0,0,0
343,344,Alvin Robertson,1,4,1984,7,SAS,University of Arkansas,10,779,24669,10882,4066,3929,0.47700000000000004,0.295,0.743,31.7,14.0,5.2,5.0,52.1,0.10099999999999999,4.0,37.3,Bob Bass,5425 days 00:00:00.000000000,13,5,1,0,0,0,0,0
367,368,David Robinson,10,10,1987,1,SAS,United States Naval Academy,14,987,34271,20790,10497,2441,0.518,0.25,0.736,34.7,21.1,10.6,2.5,178.7,0.25,7.4,80.9,Bob Bass,5425 days 00:00:00.000000000,13,8,1,0,0,0,0,0
388,389,Kobe Bryant,15,18,1996,13,NOH,0,20,1346,48637,33643,7047,6306,0.447,0.32899999999999996,0.8370000000000001,36.1,25.0,5.2,4.7,172.7,0.17,3.9,72.1,Bob Bass,3292 days 00:00:00.000000000,13,16,0,0,0,0,0,0
393,394,Baron Davis,1,2,1999,3,NOH,"University of California, Los Angeles",13,835,28592,13447,3183,6025,0.409,0.32,0.711,34.2,16.1,3.8,7.2,63.1,0.106,2.7,34.1,Bob Bass,3292 days 00:00:00.000000000,13,18,1,0,0,0,0,0
539,540,Adrian Dantley,2,6,1976,6,LAC,University of Notre Dame,15,955,34151,23177,5455,2830,0.54,0.171,0.818,35.8,24.3,5.7,3.0,134.2,0.18899999999999997,3.1,44.0,Bob MacKinnon,674 days 00:00:00.000000000,16,1,1,0,0,0,0,0
